293.7928	1.0798	626.779	2	430.747	5.953	4.900	7.030	27.315	3.964	23.351	170
297.0227	2.6773	624.406	2	563.939	5.936	5.930	5.570	32.833	20.502	12.331	154
277.3349	1.5739	638.658	2	861.525	6.670	5.900	7.100	37.575	14.374	23.201	92
283.6329	3.0451	632.442	1	960.330	8.091	9.360	7.550	38.111	20.092	18.020	161
297.4803	7.8942	626.245	2	327.070	5.279	5.320	4.800	38.167	26.701	11.465	176
274.6081	6.9667	641.492	1	480.156	8.857	9.030	9.450	16.943	3.593	13.350	195
297.3958	12.1917	627.698	1	618.812	5.795	6.440	5.820	37.178	12.178	25.000	9
293.8088	6.9041	628.594	1	705.941	7.155	6.780	7.960	29.561	6.466	23.095	170
290.2454	15.8571	633.499	2	268.163	7.564	9.490	7.100	11.602	4.341	7.260	173
279.6003	14.4844	637.117	2	1048.709	7.757	8.680	7.340	35.914	19.809	16.105	190
295.2104	17.3724	630.131	2	418.863	7.603	8.230	8.040	15.375	7.964	7.411	163
280.1047	20.3246	637.905	1	457.422	6.319	6.650	6.430	27.264	5.013	22.251	125
297.6577	24.0473	630.898	2	291.539	5.428	7.270	5.220	22.078	8.714	13.363	164
284.1632	23.3072	634.763	2	340.578	6.846	6.950	8.270	18.864	10.341	8.523	79
255.2372	5.6121	658.143	2	594.673	5.834	6.670	5.340	37.831	22.367	15.465	102
257.6489	1.9505	656.994	2	687.197	6.167	5.350	7.250	37.416	22.218	15.198	179
250.1579	5.5522	662.286	2	849.843	6.709	7.100	6.540	35.802	9.692	26.110	80
259.7761	7.1495	654.094	2	529.414	6.860	6.880	8.410	38.667	23.965	14.702	165
262.7779	5.4153	652.237	1	563.053	9.032	10.490	8.580	21.422	3.303	18.119	161
268.6933	2.0011	648.899	2	609.480	7.484	6.790	8.320	26.205	7.773	18.432	121
250.548	10.1375	661.436	1	627.690	6.446	5.730	7.160	37.524	21.627	15.897	49
256.571	11.1659	656.132	1	885.300	6.730	6.080	7.120	35.762	12.809	22.953	121
252.5645	14.2944	659.304	1	778.470	7.633	10.200	6.510	30.983	3.995	26.988	26
262.1611	14.8952	651.702	2	1171.747	7.608	8.720	6.640	34.674	5.441	29.234	57
269.3047	14.0918	646.540	1	679.255	6.358	7.110	6.880	33.291	12.031	21.260	121
273.5518	16.2599	643.228	1	651.495	6.483	6.390	7.070	33.763	23.827	9.936	159
256.9216	17.1213	656.168	2	1020.975	7.673	8.000	8.650	31.749	6.009	25.740	155
263.9757	22.241	652.093	2	1319.595	8.149	7.180	9.280	39.708	16.937	22.772	184
254.5575	22.513	658.689	2	993.014	7.366	7.820	8.400	37.742	26.395	11.347	160
274.0658	21.2976	643.812	2	288.495	8.460	8.740	7.800	11.335	3.418	7.917	167
