-70.0 0.0 30.0 90.0
-70.0 10.0 30.0 90.0
-70.0 20.0 30.0 90.0
-70.0 30.0 30.0 90.0
-70.0 40.0 30.0 90.0
-70.0 50.0 30.0 90.0
-70.0 60.0 30.0 90.0
-70.0 70.0 30.0 90.0
-70.0 80.0 30.0 90.0
-70.0 90.0 30.0 90.0
-70.0 100.0 30.0 90.0
-70.0 110.0 30.0 90.0
-70.0 120.0 30.0 90.0
-70.0 130.0 30.0 90.0
-70.0 140.0 30.0 90.0
-70.0 150.0 30.0 90.0
-70.0 160.0 30.0 90.0
-70.0 170.0 30.0 90.0
-70.0 180.0 30.0 90.0
-70.0 190.0 30.0 90.0
-70.0 200.0 30.0 90.0
-70.0 210.0 30.0 90.0
-70.0 220.0 30.0 90.0
-70.0 230.0 30.0 90.0
-70.0 240.0 30.0 90.0
-70.0 250.0 30.0 90.0
-70.0 260.0 30.0 90.0
-70.0 270.0 30.0 90.0
-70.0 280.0 30.0 90.0
-70.0 290.0 30.0 90.0
-70.0 300.0 30.0 90.0
-70.0 310.0 30.0 90.0
-70.0 320.0 30.0 90.0
-70.0 330.0 30.0 90.0
-70.0 340.0 30.0 90.0
-70.0 350.0 30.0 90.0
-70.0 360.0 30.0 90.0
